"","Id","Calories","ActivityDate","TotalSteps","SedentaryMinutes","VeryActiveMinutes","LightlyActiveMinutes","TotalMinutesAsleep","TotalTimeInBed"
"1",1503960366,1783,2016-05-11,12770,669,36,251,327,346
"2",1503960366,1783,2016-05-11,12770,669,36,251,384,407
"3",1503960366,1783,2016-05-11,12770,669,36,251,412,442
"4",1503960366,1783,2016-05-11,12770,669,36,251,340,367
"5",1503960366,1783,2016-05-11,12770,669,36,251,700,712
"6",1503960366,1783,2016-05-11,12770,669,36,251,304,320
"7",1503960366,1783,2016-05-11,12770,669,36,251,360,377
"8",1503960366,1783,2016-05-11,12770,669,36,251,325,364
"9",1503960366,1783,2016-05-11,12770,669,36,251,361,384
"10",1503960366,1783,2016-05-11,12770,669,36,251,430,449
"11",1503960366,1783,2016-05-11,12770,669,36,251,277,323
"12",1503960366,1783,2016-05-11,12770,669,36,251,245,274
"13",1503960366,1783,2016-05-11,12770,669,36,251,366,393
"14",1503960366,1783,2016-05-11,12770,669,36,251,341,354
"15",1503960366,1783,2016-05-11,12770,669,36,251,404,425
"16",1503960366,1783,2016-05-11,12770,669,36,251,369,396
"17",1503960366,1783,2016-05-11,12770,669,36,251,277,309
"18",1503960366,1783,2016-05-11,12770,669,36,251,273,296
"19",1503960366,1783,2016-05-11,12770,669,36,251,247,264
"20",1503960366,1783,2016-05-11,12770,669,36,251,334,367
"21",1503960366,1783,2016-05-11,12770,669,36,251,331,349
"22",1503960366,1783,2016-05-11,12770,669,36,251,594,611
"23",1503960366,1783,2016-05-11,12770,669,36,251,338,342
"24",1503960366,1783,2016-05-11,12770,669,36,251,383,403
"25",1503960366,1783,2016-05-11,12770,669,36,251,285,306
"26",1503960366,1859,2016-05-10,12207,746,46,214,327,346
"27",1503960366,1859,2016-05-10,12207,746,46,214,384,407
"28",1503960366,1859,2016-05-10,12207,746,46,214,412,442
"29",1503960366,1859,2016-05-10,12207,746,46,214,340,367
"30",1503960366,1859,2016-05-10,12207,746,46,214,700,712
"31",1503960366,1859,2016-05-10,12207,746,46,214,304,320
"32",1503960366,1859,2016-05-10,12207,746,46,214,360,377
"33",1503960366,1859,2016-05-10,12207,746,46,214,325,364
